date,product,unit price,units sold,sales price
2018-01-23,Button-Down Shirt,65.05,3,195.15
2018-01-23,Vintage Logo Tee,15.95,2,31.9
2018-01-24,Super Soft Sweater,149.99,1,149.99
2018-01-24,Super Soft Hoodie,75.0,1,75.0
2018-01-24,Vintage Logo Tee,15.95,1,15.95
2018-01-25,Button-Down Shirt,65.05,3,195.15
2018-01-25,Winter Hat,12.95,1,12.95
2018-01-26,Khaki Pants,89.0,2,178.0
2018-01-26,Winter Hat,12.95,1,12.95
2018-01-26,Sticker Pack,4.5,3,13.5
2018-01-27,Super Soft Sweater,149.99,1,149.99
2018-01-27,Super Soft Hoodie,75.0,2,150.0
2018-01-27,Button-Down Shirt,65.05,4,260.2
2018-01-27,Vintage Logo Tee,15.95,4,63.8
2018-01-27,Winter Hat,12.95,2,25.9
2018-01-27,Sticker Pack,4.5,2,9.0
2018-01-28,Super Soft Sweater,149.99,2,299.98
2018-01-28,Khaki Pants,89.0,1,89.0
2018-01-28,Super Soft Hoodie,75.0,1,75.0
2018-01-28,Button-Down Shirt,65.05,5,325.25
2018-01-28,Vintage Logo Tee,15.95,2,31.9
2018-01-28,Sticker Pack,4.5,2,9.0
2018-01-29,Button-Down Shirt,65.05,2,130.1
2018-01-29,Winter Hat,12.95,1,12.95
2018-01-29,Sticker Pack,4.5,1,4.5
2018-01-30,Super Soft Sweater,149.99,1,149.99
2018-01-30,Button-Down Shirt,65.05,3,195.15
2018-01-30,Vintage Logo Tee,15.95,1,15.95
2018-01-30,Winter Hat,12.95,1,12.95
2018-01-30,Sticker Pack,4.5,2,9.0
2018-01-31,Button-Down Shirt,65.05,1,65.05
2018-01-31,Vintage Logo Tee,15.95,2,31.9
2018-01-31,Sticker Pack,4.5,3,13.5
