date,product,unit price,units sold,sales price
2019-04-23,Khaki Pants,89.0,1,89.0
2019-04-23,Super Soft Hoodie,75.0,1,75.0
2019-04-23,Button-Down Shirt,65.05,2,130.1
2019-04-23,Vintage Logo Tee,15.95,2,31.9
2019-04-23,Sticker Pack,4.5,2,9.0
2019-04-24,Khaki Pants,89.0,1,89.0
2019-04-24,Super Soft Hoodie,75.0,1,75.0
2019-04-24,Vintage Logo Tee,15.95,2,31.9
2019-04-24,Sticker Pack,4.5,3,13.5
2019-04-25,Button-Down Shirt,65.05,4,260.2
2019-04-25,Vintage Logo Tee,15.95,3,47.85
2019-04-25,Sticker Pack,4.5,1,4.5
2019-04-26,Button-Down Shirt,65.05,1,65.05
2019-04-26,Vintage Logo Tee,15.95,2,31.9
2019-04-26,Sticker Pack,4.5,2,9.0
2019-04-27,Khaki Pants,89.0,3,267.0
2019-04-27,Super Soft Hoodie,75.0,3,225.0
2019-04-27,Button-Down Shirt,65.05,5,325.25
2019-04-27,Baseball Cap,22.33,1,22.33
2019-04-27,Vintage Logo Tee,15.95,3,47.85
2019-04-28,Brown Boots,125.0,1,125.0
2019-04-28,Super Soft Hoodie,75.0,2,150.0
2019-04-28,Button-Down Shirt,65.05,2,130.1
2019-04-28,Baseball Cap,22.33,1,22.33
2019-04-29,Khaki Pants,89.0,1,89.0
2019-04-29,Vintage Logo Tee,15.95,2,31.9
2019-04-30,Khaki Pants,89.0,1,89.0
2019-04-30,Button-Down Shirt,65.05,3,195.15
2019-04-30,Vintage Logo Tee,15.95,3,47.85
